user_id, userName, restaurant_id, flavorScore, environmentScore, serviceScore
1, liugeng00, 18, 3, 3, 3
1, liugeng00, 14, 4, 4, 4
1, liugeng00, 20, 4, 4, 4
1, liugeng00, 3, 4, 4, 4
1, liugeng00, 23, 4, 4, 4
1, liugeng00, 15, 3, 3, 3
1, liugeng00, 9, 3, 3, 3
1, liugeng00, 10, 4, 4, 4
1, liugeng00, 19, 2, 2, 2
1, liugeng00, 11, 3, 3, 3
1, liugeng00, 13, 3, 3, 3
2, SS咩咩酱, 3, 4, 4, 4
2, SS咩咩酱, 18, 4, 4, 4
2, SS咩咩酱, 16, 3, 3, 3 
2, SS咩咩酱, 8, 4, 3, 2
2, SS咩咩酱, 25, 4, 4, 4
3, 不挠人的喵, 16, 4, 4, 4
3, 不挠人的喵, 18, 4, 3, 0
3, 不挠人的喵, 23, 4, 4, 4
3, 不挠人的喵, 3, 1, 1, 2
4, 蓝蓝呢, 16, 4, 4, 4
4, 蓝蓝呢, 3, 2, 2, 4
4, 蓝蓝呢, 25, 3, 3, 3
5, goawayhaha, 4, 3, 3, 3
5, goawayhaha, 17, 3, 3, 3
5, goawayhaha, 18, 4, 4, 4
5, goawayhaha, 16, 3, 3, 3
6, FLORA柃, 18, 3, 3, 2
7, 咩咩的呆呆, 1 3, 3, 1
7, 咩咩的呆呆, 17, 3, 4, 4
7, 咩咩的呆呆, 19, 3, 3, 3
7, 咩咩的呆呆, 3, 4, 3, 4
7, 咩咩的呆呆, 25, 3, 3, 4
7, 咩咩的呆呆, 8, 4, 4, 4
8, 开始懂了jyjy, 4, 4, 3, 3
8, 开始懂了jyjy, 17, 3, 3, 3
8, 开始懂了jyjy, 18, 4, 4, 4
9, 爱揍羊的小怪兽, 3, 4, 4, 4
9, 爱揍羊的小怪兽, 17, 4, 4, 3
9, 爱揍羊的小怪兽, 18, 4, 4, 4
9, 爱揍羊的小怪兽, 23, 4, 4, 4
9, 爱揍羊的小怪兽, 1, 3, 2, 3
9, 爱揍羊的小怪兽, 20, 4, 4, 4
9, 爱揍羊的小怪兽, 4, 3, 2, 3
9, 爱揍羊的小怪兽, 11, 3, 3, 3
9, 爱揍羊的小怪兽, 13, 4, 3, 4
10, 瘦瘦猪I, 8, 4, 4, 4
10, 瘦瘦猪I, 18, 4, 4, 4

 