id,title,averageSpent,categories,environmentScore,serviceScore,flavorScore,phoneNumber,address,distance
1,泰好吃年糕火锅（独墅湖店）--TaiHaoChi Rice Cake Chaffy dish (Dushu Lake branch),48,South Korean dish,9,9.1,9, 62799747, 独墅湖高教区文星广场85度c旁边(文星广场85度c)--Dushu Lake Higher education zone Wenxing square (next to 85°c bekery),486
2,高丽鸡韩国时尚料理（文星店）--Chicken Korea Korean food (Wenxing branch),12,South Korean dish,7,6.9,7.6,15190565696,林泉街独墅湖文星广场旁(近文星广场邮政所)--Linquan Road Dushu Lake Wenxing square (next to Post Office),758
3,喜来稀肉（邻瑞店）--XiLaiXiRou(Link city branch),85,South Korean dish,9.1,9.1,9.1,62769907,西华林街88号邻瑞广场一楼西广场山姆会员超市出入口 --XiHuaLinJie Number88 The west of Link city (at the entrance of Sam Supermarket),758
4,全州拌饭（邻瑞广场）--Quanzhou Bibimbap (Link city),24,South Korean dish,8.6,8.5,8.5,62766597,苏州工业园区邻瑞广场B109-110--Suzhou Industrial zone Link city B109-110,3700
5,利好海鲜酒楼 --Lihao Seafood Restaurant,204,Cantonese dish,7.7,7.6,7.7,62381777/62381888,独墅湖科教创新区月亮湾街8号(近独墅湖体育馆)--Dushu Lake Science and education innovation zone moon bay street No.8 (next to Dushu Lake gymnasium),1800
6,量子制造·馋源 --Liangzizhizao.Chanyuan,151,Cantonese dish,9.2,9.1,9.1,67678979,松涛街1088号斜塘老街四期47栋(靠近津梁路南端末)--Songtao Street No.1088 Xietang street 47 building (next to the end of the the southern tip of jinliang street),3700
7,润记（邻瑞广场）--Runji (Link city),55,Cantonese dish,8.3,7.9,7.9,62827988,金鸡湖大道与西华林街交界处邻瑞广场B1楼 --Link city B1 building at the cross of the Jinji Lake road and the Xihualin road,3700
8,有家酸菜鱼 --Youjia Pickled fish,57,Sichuan dish,9.1,9.1,9.2,4008168517,独墅湖高教区文星广场--Dushu Lake Higher education zone Wenxing square,100
9,陆鼎记幸福餐厅 --Ludingji Happyness restaurant,44,Sichuan dish,7.7,7.7,7.6,13862502566,独墅湖高教区仁爱路文星广场A2号(近移动营业厅)--Dushu Lake Higher education zone Renai road Wenxing square No. A2 (next to Chan Mobile Service Hall),100
10,明月湾菜馆 --The bright moon bay restaurant/ Mingyuewang restaurant,31,Sichuan dish,7.5,7.8,7.6,8716865,独墅湖高教区文星广场学生公寓A区a04幢一楼(MBA酒店后50米)--Dushu Lake Higher education Wenxing square firest floor of student dormitory  A04 building (Behind MBA hotel),357
11,敬斋酒店 --Jingzhai hotel,92,Hunan dish,9.1,8.9,9,6260333/62601999,仁爱路158号独墅湖高教区中国人民大学国际学院院内(近文星广场)--Renai Road No.158 Dushu Lake Higher education zone within the Renmin University of China (next to Wenxing square),768
12,潇湘酒店（斜塘店）--Xiaoxiang restaurant (Xietang branch),53,Hunan dish,7.1,7.2,7.1,65478887,斜塘东延路莲花商业街中心(东延路与莲花商业街交叉口)--Centre of Xietang Dongyan road Lotus flower business street (the cross of Dongyan street and Lotus flower business street),1500
13,湘膳（独墅湖店）--Xiangshan restaurant (Dushu Lake branch),73,Hunan dish,8.4,8.2,8.5,65966667,独墅湖月亮湾星月坊商圈E01号(近独墅湖体育馆)-- Dushu Lake moon bay street Xingyue No. E01 (next to Dushu Lake gymnasium),2200
14,御记煌三汁焖锅（文星广场店）--YuJiHuangSanZhiMenGuo(WenXing branch),48,Hotpot,8.2,8.3,8.2,62539695,独墅湖大学城文星广场--Dushu Lake Higher Education Zone WenXing square,473
15,丫丫小煮（文星广场店）--YaYaXiaoZhu（WenXing branch),51,Hotpot,9,9.1,9.1,18912798470,独墅湖高教区文星广场A4号（近中国移动动感地带营业厅）--Du Shu Lake Education Town WenXing square  Number A4 (Next to China Mobile),640
16,重庆鸡公煲（文星广场店）--ChongQinJiGongBao(WenXing brach),35,Hotpot,8.4,8.1,8.8,62565071,独墅湖高教区仁爱路文星广场内--Dushu Lake Higher education zone Renai road Wenxing square,480
17,关于吃.Com(高教店）--GuanYuChi(higher education area branch),50,Suzhou dish,9,8.9,8.9,62769176,林泉街598号邻里中心翰林大厦2楼 --Linquan Street Number 598 LinLI Center Hanlin Building second floor,733
18,桃花源记（高教店）--TaoHuaYuanJi(higher education area branch),24,Suzhou dish,9.1,9,9,62769179,林泉街598号翰林邻里中心2楼b202-1室(关于吃.com)旁 --Linquan Street Number 598  Han Lin LinLI Center Building second floor (Next to GuanYuChi.com),708
19,地锅居（翰林店）--DiGuoJu(HanLin branch),42,Suzhou dish,7.7,7.1,7.5,62568243,林泉街298号（翰林大厦北2楼207）--Linquan Street Number 298 (The north of HanLin building second floor 207),666
20,缘幕寿司（翰林缘店）--YuanMuShousi(HanLinYuan branch),39,Japanese dish,9.1,9.2,9.1,62763036,缘幕寿司（翰林缘店）--YuanMuShouSi(HanLinYuanDian),763
21,N多寿司（圆融时代广场店）--NDuoShousi(YuanRong Timesquare branch),13,Japanese dish,8.3,6.8,8.6,15151545574,旺墩路264号圆融时代广场--Wangdun Road No.264 YuanRong Timesquare,5900
22,秋季语寿司（文星店）--QiuJiYuShouSi(Wenxing branch),11,Japanese dish,8.4,8.9,9,15262588028,文星广场B2座（近老娘舅）--WenXing Square B2 Building (Next to LaoNiangJiu),568
23,这美咖啡 --ZeMo Café,54,Western dish,9.1,8.8,9.1,89573182,仁爱路105号（工商银行）--Renai Road Number 105 (Industral and Commerical Bank Of China),322
24,小西厨西餐（文星广场店）--XiaoXiChuXiCan(WenXing branch),15,Western dish,7.1,7.3,7.4,18761937694,仁爱路199号文星广场2楼 --Renai Road Number 199 WenXing Square second floor,519
25,水天堂西餐厅（邻瑞广场店）--ShuiTianTangXiCanTing(Link city branch),66,Western dish,9.2,9.1,9.1,67777737,西华林街邻瑞广场403号 --XiHuaLinJie LinRui Square Number 403,3400